,Coal and lignite production (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2019 - 2020 (%) ,2000 - 2020 (%/year) ,
World,4698,4527,4479,4361,4441,4598,4661,4658,4593,4532,4665,4890,4945,5296,5691,6056,6405,6673,6870,7000,7390,7867,7965,8016,7970,7743,7326,7584,7844,7938,7582,-4.5,2.5,
OECD,2308,2191,2126,2018,2061,2068,2092,2116,2103,2064,2040,2118,2086,2057,2105,2146,2175,2179,2177,2075,2103,2112,2054,2027,2054,1935,1745,1791,1760,1649,1380,-16.3,-1.9,
G7,1552,1444,1389,1300,1342,1333,1347,1356,1352,1320,1284,1336,1304,1275,1324,1337,1358,1350,1358,1255,1267,1283,1214,1179,1186,1071,901,944,919,829,641,-22.7,-3.4,
BRICS,1821,1807,1831,1856,1933,2090,2142,2113,2060,2055,2164,2280,2368,2707,3008,3290,3519,3757,3934,4141,4446,4746,4876,4951,4900,4863,4602,4770,5006,5144,5160,0.3,4.4,
Europe,1209,1089,1027,963,910,910,901,880,819,778,778,789,782,782,768,758,759,761,749,723,705,739,730,690,664,654,625,635,629,549,454,-17.3,-2.7,
European Union,995,882,830,789,763,752,745,716,651,626,626,634,636,639,630,619,612,603,581,556,546,572,574,546,529,520,479,490,475,392,327,-16.5,-3.2,
Belgium,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.7,-7.2,
Czechia,101,97,87,85,77,75,77,74,68,59,65,66,63,64,64,62,63,63,60,56,55,58,55,49,47,47,46,45,44,40,31,-22.7,-3.7,
France,14,13,12,11,10,10,9,7,6,6,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-100.0,
Germany,434,353,314,287,265,252,241,229,212,205,205,206,211,208,211,206,200,205,194,185,184,189,197,191,187,185,176,175,169,127,105,-17.7,-3.3,
Italy,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-100.0,
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,
Poland,215,210,198,199,201,201,202,201,179,171,163,164,162,164,162,160,156,146,144,135,133,139,144,143,137,136,131,127,122,112,101,-10.4,-2.4,
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,
Romania,38,32,38,40,41,41,42,34,26,23,29,33,30,33,32,31,35,36,36,34,31,36,34,25,24,25,23,26,24,22,15,-30.7,-3.3,
Spain,36,34,33,32,30,28,27,26,26,24,23,23,22,21,20,19,18,17,10,9,8,7,6,4,4,3,2,3,2,0,0,-,-100.0,
Sweden,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0.0,-0.1,
United Kingdom,93,95,84,68,50,53,50,48,41,37,31,32,30,28,25,20,19,17,18,18,18,19,17,13,12,9,4,3,3,2,2,-35.4,-13.9,
Norway,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,1,2,4,3,3,2,1,1,2,2,1,1,0,0,0,0,-41.9,-10.4,
Turkey,47,46,51,49,54,55,56,60,67,67,63,62,54,49,46,58,64,75,79,79,73,75,70,60,65,58,73,74,84,87,70,-19.2,0.5,
CIS,683,619,589,519,460,419,386,371,357,368,388,397,381,408,413,439,453,459,488,445,476,492,527,525,513,488,505,525,566,566,524,-7.4,1.5,
Kazakhstan,131,130,127,112,105,84,78,73,71,60,77,79,74,85,87,87,97,98,111,101,111,116,121,120,114,92,93,101,108,104,104,-0.5,1.5,
Russia,377,338,324,289,257,250,244,232,220,238,242,251,240,258,260,285,286,290,306,277,300,297,331,328,334,353,368,389,420,425,386,-9.2,2.3,
Ukraine,159,135,126,109,89,78,58,59,60,63,63,62,62,60,60,61,65,65,65,60,58,70,68,69,56,35,36,25,27,26,24,-7.7,-4.6,
Uzbekistan,6,7,6,5,5,3,3,3,3,3,3,3,3,2,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,1.9,2.6,
America,1040,1011,1008,964,1053,1058,1091,1123,1148,1125,1106,1161,1123,1109,1165,1195,1232,1226,1244,1146,1163,1187,1112,1087,1103,985,834,875,850,800,612,-23.5,-2.9,
North America,1002,975,971,927,1010,1012,1041,1067,1089,1069,1041,1092,1059,1034,1085,1109,1138,1127,1144,1050,1064,1073,999,974,986,876,720,764,746,698,534,-23.5,-3.3,
Canada,68,71,66,69,73,75,76,79,75,72,69,70,67,62,66,70,70,74,68,63,68,68,67,70,67,62,59,62,60,57,45,-20.9,-2.1,
United States,934,904,905,858,938,937,965,989,1014,996,972,1021,993,972,1019,1039,1068,1053,1076,988,996,1006,932,904,918,814,661,703,686,641,488,-23.8,-3.4,
Latin America,38,36,37,38,42,46,50,55,59,57,65,70,64,75,80,87,94,99,100,96,99,114,114,114,118,108,114,110,104,102,78,-23.2,0.9,
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.0,-4.9,
Brazil,5,5,5,5,5,5,5,6,6,6,7,6,5,5,5,6,6,6,7,6,5,6,7,9,8,8,7,5,5,5,6,2.6,-1.0,
Chile,2,2,2,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,3,4,3,3,2,2,1,1,-36.2,4.7,
Colombia,21,20,22,21,23,26,30,33,34,33,38,44,40,50,54,59,66,70,74,73,74,86,89,85,89,86,91,91,84,84,65,-23.4,2.7,
Mexico,7,6,6,7,9,9,10,10,11,10,11,11,11,12,13,13,15,16,14,13,15,20,16,15,15,11,13,12,12,10,7,-33.7,-2.6,
Venezuela,2,2,2,4,4,4,4,5,7,7,8,8,7,7,7,7,7,6,5,3,3,2,1,1,1,1,1,1,0,0,0,-34.4,-16.9,
Asia,1376,1399,1441,1488,1586,1752,1818,1790,1747,1735,1851,1978,2086,2405,2741,3036,3329,3577,3734,4018,4344,4770,4886,4981,4920,4829,4591,4769,5032,5246,5251,0.1,5.4,
China,1040,1041,1073,1112,1203,1339,1379,1336,1296,1264,1355,1450,1539,1819,2089,2317,2520,2722,2844,3043,3316,3608,3678,3749,3640,3563,3268,3397,3549,3691,3743,1.4,5.2,
India,225,245,255,262,272,290,308,319,316,324,336,350,364,386,410,437,462,491,525,566,570,582,603,610,657,683,703,722,776,769,779,1.2,4.3,
Indonesia,10,13,22,28,31,42,50,55,61,74,79,94,102,117,144,171,233,249,249,291,325,436,470,491,488,452,463,495,548,606,551,-9.0,10.2,
Japan,8,8,8,7,7,6,6,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.9,-5.6,
Malaysia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,2,3,3,3,3,3,2,3,3,3,3,-13.9,10.8,
South Korea,17,15,12,9,7,6,5,5,4,4,8,8,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,-6.0,-10.2,
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-100.0,
Thailand,12,15,15,16,17,18,21,23,20,18,18,20,20,19,20,21,19,18,18,18,18,21,18,18,18,15,17,16,15,14,13,-7.6,-1.5,
Pacific,207,222,231,229,228,245,251,268,290,295,310,333,344,347,355,376,380,396,397,412,441,420,440,463,493,516,503,502,488,506,476,-6.0,2.2,
Australia,205,220,228,226,225,242,247,264,287,291,307,329,340,342,350,371,375,391,392,408,436,415,435,458,489,512,500,499,485,503,473,-5.9,2.2,
New Zealand,3,3,3,3,3,4,4,4,3,4,3,4,4,5,5,5,6,5,5,5,5,5,5,5,4,3,3,3,3,3,3,-7.1,-1.0,
Africa,182,186,183,196,203,213,213,226,229,230,231,230,227,244,248,250,250,252,256,254,259,258,268,267,275,270,267,276,276,268,262,-2.4,0.6,
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-100.0,
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.8,14.2,
South Africa,175,178,174,188,196,206,206,220,223,224,224,224,220,239,243,245,245,248,252,249,255,253,259,256,261,256,256,257,256,254,247,-2.4,0.5,
Middle-East,1,1,1,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2.6,1.7,
Iran,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,3.9,2.2,
Kuwait,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-,-,
Saudi Arabia,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-,-,
United Arab Emirates,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-,-,
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141 additional countries available in our Global Energy & CO2 Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enerdata www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata www.enerdata.net. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
