,Electricity production (TWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2019 - 2020 (%) ,2000 - 2020 (%/year) ,
World,11879,12156,12265,12554,12860,13299,13726,14016,14377,14782,15483,15600,16212,16803,17575,18335,19050,19882,20260,20189,21579,22273,22795,23478,23910,24348,25061,25734,26738,27063,26906,-0.6,2.8,
OECD,7701,7887,7962,8145,8374,8625,8870,8994,9216,9419,9808,9690,9970,10086,10335,10588,10665,10861,10894,10509,10988,10950,10933,10942,10891,10929,11011,11047,11227,11085,10786,-2.7,0.5,
G7,6079,6223,6263,6400,6562,6740,6925,6965,7114,7241,7496,7305,7539,7598,7753,7925,7950,8042,8033,7689,8039,7951,7886,7937,7893,7884,7892,7871,8016,7869,7621,-3.2,0.1,
BRICS,2383,2464,2505,2578,2632,2748,2857,2954,3019,3161,3355,3492,3716,4068,4443,4810,5300,5821,6074,6332,6996,7625,7990,8518,8873,9116,9590,10093,10738,11120,11300,1.6,6.3,
Europe,2899,2936,2924,2930,2975,3069,3162,3197,3278,3325,3436,3502,3538,3621,3706,3764,3813,3858,3885,3709,3866,3822,3848,3823,3752,3814,3853,3901,3901,3849,3717,-3.4,0.4,
European Union,2275,2317,2303,2303,2340,2410,2495,2506,2560,2587,2659,2734,2757,2837,2909,2928,2974,2988,2999,2847,2985,2942,2939,2921,2861,2907,2929,2961,2946,2916,2782,-4.6,0.2,
Belgium,71,72,72,71,72,74,76,79,83,85,84,80,82,85,86,87,86,89,85,91,95,90,83,83,73,70,86,87,75,94,91,-3.0,0.4,
Czechia,63,61,59,59,59,61,64,65,65,65,73,75,76,83,84,83,84,88,84,82,86,87,87,87,86,84,83,87,88,87,81,-6.4,0.5,
France,421,456,464,473,477,494,513,505,511,526,540,550,559,567,574,576,575,570,574,536,569,574,573,582,573,580,564,562,582,571,533,-6.7,-0.1,
Germany,550,540,537,526,529,537,555,552,556,556,577,586,587,609,618,623,640,641,641,596,633,613,628,639,628,648,650,654,643,612,572,-6.5,0.0,
Italy,217,222,226,223,232,241,244,251,260,266,277,279,285,294,303,304,314,314,319,293,302,303,299,290,280,283,290,296,290,292,280,-3.8,0.1,
Netherlands,72,74,77,77,80,81,85,87,91,87,90,94,96,97,101,100,99,105,108,114,119,114,103,102,103,110,115,117,114,121,123,1.1,1.6,
Poland,136,135,133,134,135,139,143,143,143,142,145,146,144,152,154,157,162,159,155,152,158,164,162,165,159,165,167,170,170,164,158,-3.9,0.4,
Portugal,29,30,30,31,31,33,35,34,39,43,44,47,46,47,45,47,49,47,46,50,54,52,47,52,53,52,60,59,60,53,53,0.3,1.0,
Romania,64,57,54,55,55,59,61,57,53,51,52,54,55,55,56,59,63,62,65,58,61,62,59,59,66,66,65,64,65,60,56,-5.6,0.4,
Spain,152,156,159,157,162,167,174,190,195,208,224,236,245,261,280,294,299,305,314,295,302,294,298,286,279,281,275,276,274,274,264,-3.7,0.8,
Sweden,147,147,146,146,143,148,141,149,159,155,145,162,147,135,152,158,143,149,150,137,149,150,167,153,154,162,156,164,163,169,164,-3.2,0.6,
United Kingdom,320,323,321,323,326,334,351,351,363,368,377,385,387,398,394,398,397,397,389,377,382,368,364,358,338,340,340,339,333,325,313,-3.7,-0.9,
Norway,122,111,118,120,113,123,105,112,117,123,143,122,131,107,111,138,122,137,142,132,124,128,148,134,142,145,149,149,147,135,154,14.5,0.4,
Turkey,58,60,67,74,78,86,95,103,111,116,125,123,129,141,151,162,176,192,198,195,211,229,239,240,252,262,274,297,305,304,305,0.5,4.6,
CIS,1676,1635,1529,1436,1309,1270,1237,1211,1193,1214,1250,1270,1274,1317,1346,1373,1431,1458,1483,1407,1483,1514,1543,1538,1532,1517,1546,1554,1593,1599,1557,-2.6,1.1,
Kazakhstan,87,86,83,77,66,67,59,52,49,47,51,57,58,64,67,68,72,77,80,79,83,87,93,103,95,92,95,103,108,107,110,2.5,3.9,
Russia,1082,1068,1008,957,876,860,847,834,827,846,878,891,891,916,932,953,996,1015,1040,992,1038,1055,1071,1059,1064,1068,1091,1094,1115,1125,1092,-3.0,1.1,
Ukraine,299,279,253,230,203,194,183,178,173,172,171,173,174,180,182,186,193,196,193,174,189,195,199,194,183,164,165,156,160,152,143,-6.0,-0.9,
Uzbekistan,56,54,51,49,48,47,45,46,46,45,47,48,49,49,50,48,49,49,50,50,52,53,53,55,56,58,59,61,63,63,65,3.0,1.6,
America,4306,4425,4471,4637,4762,4911,5057,5126,5292,5409,5641,5431,5658,5732,5882,6073,6119,6240,6306,6106,6357,6428,6420,6497,6531,6557,6580,6552,6744,6702,6526,-2.6,0.7,
North America,3701,3784,3811,3944,4029,4142,4250,4271,4392,4477,4658,4455,4652,4671,4775,4915,4911,4978,5001,4797,4981,4983,4923,4964,4999,4975,4986,4949,5110,5054,4911,-2.8,0.3,
Canada,482,509,520,532,556,560,573,574,562,579,606,590,601,590,600,621,610,628,633,609,603,633,632,658,659,658,664,663,654,653,648,-0.8,0.3,
United States,3219,3276,3291,3411,3473,3582,3677,3698,3830,3898,4053,3865,4051,4082,4175,4294,4301,4350,4368,4188,4378,4349,4291,4306,4340,4317,4322,4286,4455,4401,4262,-3.1,0.3,
Latin America,605,641,660,694,733,769,807,855,900,933,983,976,1006,1061,1108,1158,1208,1262,1304,1309,1376,1446,1497,1533,1532,1582,1594,1602,1634,1648,1615,-2.0,2.5,
Argentina,51,54,56,62,66,67,70,72,74,81,89,90,85,92,100,106,113,114,122,122,126,130,136,139,139,145,147,146,147,140,143,2.3,2.4,
Brazil,223,234,242,252,260,276,291,308,322,335,349,329,346,364,387,403,419,445,463,466,516,532,553,571,591,582,579,589,601,626,614,-2.0,2.9,
Chile,18,20,22,24,25,28,31,33,36,38,40,43,44,47,51,52,55,59,60,61,60,66,70,73,71,75,79,79,82,84,84,0.8,3.8,
Colombia,36,37,33,39,41,43,43,45,45,43,43,43,45,47,50,50,54,55,56,57,61,62,64,74,71,79,77,79,80,82,76,-7.1,2.9,
Mexico,116,129,133,136,147,152,158,167,182,192,206,214,218,236,238,251,258,265,269,268,276,303,307,297,301,311,321,322,336,331,322,-2.8,2.3,
Venezuela,59,63,67,69,71,73,76,78,81,81,85,90,92,92,99,105,110,114,119,120,114,118,122,123,103,123,108,104,100,96,93,-3.8,0.4,
Asia,2245,2395,2537,2701,2928,3127,3302,3467,3547,3721,3985,4167,4446,4792,5224,5641,6126,6685,6904,7242,8007,8603,8992,9577,9954,10239,10808,11367,12105,12475,12697,1.8,6.0,
China,621,678,754,838,928,1008,1080,1136,1168,1240,1356,1481,1654,1911,2204,2500,2866,3282,3467,3715,4208,4716,4994,5447,5679,5860,6218,6635,7182,7519,7798,3.7,9.1,
India,289,316,333,356,386,418,437,466,497,537,562,581,604,642,676,708,765,815,845,909,975,1060,1115,1184,1287,1358,1449,1519,1583,1597,1557,-2.5,5.2,
Indonesia,33,37,42,45,51,59,68,75,78,86,93,101,108,113,120,128,133,142,149,157,170,183,200,216,228,234,248,255,284,295,291,-1.5,5.9,
Japan,871,898,904,912,969,990,1011,1035,1031,1048,1068,1050,1068,1059,1088,1109,1113,1142,1108,1090,1171,1111,1099,1104,1076,1059,1062,1071,1058,1015,1011,-0.4,-0.3,
Malaysia,23,27,29,35,39,45,51,58,61,65,69,71,74,78,82,83,90,98,98,116,125,129,134,138,147,150,157,165,170,176,168,-4.3,4.5,
South Korea,105,115,126,145,164,184,205,225,218,238,290,311,332,345,368,389,404,427,446,455,500,523,535,542,551,553,563,567,590,582,571,-1.9,3.4,
Taiwan,90,99,106,115,125,133,142,150,163,169,185,189,199,210,219,227,236,243,239,230,247,252,250,252,260,258,264,270,276,274,280,2.2,2.1,
Thailand,44,50,57,63,71,80,90,93,90,90,96,102,109,117,126,132,139,143,147,148,160,156,167,170,172,176,188,182,182,192,181,-5.6,3.2,
Pacific,190,193,195,200,204,212,217,222,236,245,253,268,272,266,275,276,281,292,292,296,302,303,300,298,296,301,306,308,313,318,310,-2.6,1.0,
Australia,155,157,160,164,167,173,178,183,195,204,210,225,228,221,228,229,233,243,243,248,253,254,251,249,247,251,257,258,261,264,257,-2.8,1.0,
New Zealand,32,33,33,34,35,36,36,37,38,38,39,40,41,41,43,43,43,44,44,43,45,44,44,43,44,44,44,44,44,45,44,-1.4,0.6,
Africa,318,326,329,341,353,364,386,403,409,422,445,462,490,512,543,564,590,615,611,616,676,685,713,733,762,786,796,827,854,872,850,-2.5,3.3,
Algeria,17,19,19,21,21,21,22,23,25,27,28,29,30,32,33,36,38,40,43,41,48,56,62,65,71,75,78,83,84,90,88,-2.6,5.9,
Egypt,42,44,46,48,49,52,55,58,63,68,78,83,89,95,101,109,115,125,117,126,147,144,150,154,161,173,177,185,194,195,193,-1.0,4.6,
Nigeria,13,14,15,15,16,16,16,16,15,16,15,15,22,20,24,24,23,23,21,20,26,27,29,29,32,32,34,34,36,38,40,6.5,5.2,
South Africa,167,168,168,175,182,187,202,210,205,203,211,210,221,234,245,245,254,263,258,250,260,263,258,256,253,250,253,255,256,252,240,-5.0,0.6,
Middle-East,244,246,280,309,330,346,366,390,422,446,472,500,533,563,598,645,690,733,779,813,888,916,979,1012,1082,1133,1171,1224,1228,1247,1250,0.2,5.0,
Iran,59,64,69,76,82,85,91,98,103,113,121,130,141,154,167,178,193,204,215,221,233,240,254,262,275,281,289,308,310,314,322,2.6,5.0,
Kuwait,18,11,17,20,23,24,25,27,30,32,32,34,36,39,41,44,48,49,52,53,57,57,61,61,65,68,70,73,74,75,75,-0.7,4.3,
Saudi Arabia,69,74,82,91,94,98,101,108,115,119,126,134,142,153,160,176,181,191,204,217,240,250,289,302,336,359,368,378,378,367,363,-1.1,5.4,
United Arab Emirates,17,17,19,22,24,25,27,28,33,37,40,43,47,49,52,61,67,79,80,86,94,99,106,110,117,127,130,135,136,138,137,-0.7,6.4,
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141 additional countries available in our Global Energy & CO2 Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enerdata www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata www.enerdata.net. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
