,Natural gas production (bcm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2019 - 2020 (%) ,2000 - 2020 (%/year) ,
World,2057,2099,2099,2147,2165,2202,2293,2296,2345,2418,2502,2550,2614,2710,2791,2870,2961,3035,3157,3061,3281,3377,3435,3494,3540,3574,3620,3762,3959,4108,4007,-2.5,2.4,
OECD,881,903,922,958,995,1010,1063,1067,1073,1084,1110,1130,1121,1124,1121,1104,1121,1132,1169,1155,1181,1204,1231,1240,1279,1304,1315,1356,1450,1543,1539,-0.3,1.6,
G7,707,717,732,763,801,810,837,843,850,861,885,896,874,874,849,828,833,840,851,838,846,880,902,904,956,990,992,1013,1105,1188,1183,-0.4,1.5,
BRICS,663,668,667,647,638,631,640,616,638,643,637,638,658,686,705,722,742,749,779,728,821,843,829,853,834,829,837,903,958,986,952,-3.4,2.0,
Europe,242,257,255,269,269,278,314,307,305,311,320,323,331,332,341,329,322,309,328,310,317,292,294,287,269,261,260,261,246,230,214,-7.0,-2.0,
European Union,164,171,169,173,168,170,182,168,161,154,150,153,151,145,158,148,147,141,148,139,148,139,134,135,117,98,96,90,79,71,56,-21.3,-4.8,
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-100.0,
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.2,-0.5,
France,3,3,3,3,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,69.7,-19.1,
Germany,19,19,19,19,20,21,23,22,22,23,22,22,22,22,20,20,20,20,18,18,15,15,13,12,9,9,9,8,7,7,6,-15.6,-6.6,
Italy,17,17,18,20,21,20,20,19,19,17,17,15,15,14,13,12,11,10,9,8,8,8,9,8,7,7,6,6,5,5,4,-16.1,-6.8,
Netherlands,76,86,86,88,84,85,96,85,81,76,74,78,76,73,86,78,77,74,85,79,90,83,82,87,72,55,53,46,39,34,24,-28.3,-5.4,
Poland,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-1.3,0.3,
Portugal,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-,-,
Romania,28,25,22,21,19,18,17,15,14,14,14,14,13,13,13,12,12,12,11,11,11,11,11,11,11,11,10,11,10,10,9,-9.7,-2.1,
Spain,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59.9,-5.8,
Sweden,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-,-,
United Kingdom,50,57,56,66,70,76,90,92,96,105,115,111,109,109,102,93,84,76,73,61,58,46,40,37,39,40,42,42,41,40,40,-0.2,-5.2,
Norway,28,27,29,29,31,31,41,47,48,51,53,58,69,77,81,87,89,92,105,109,110,106,119,113,113,121,121,128,126,119,116,-2.4,4.0,
Turkey,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-6.9,-1.8,
CIS,800,798,764,751,709,700,707,662,680,694,709,712,732,763,781,797,814,824,852,753,834,867,857,884,854,844,850,906,963,982,915,-6.8,1.3,
Kazakhstan,7,8,8,7,4,6,7,8,8,10,9,8,11,13,17,19,20,22,25,27,28,29,31,33,34,29,31,36,39,39,37,-6.2,7.2,
Russia,629,632,629,607,596,585,591,561,581,581,573,570,584,608,620,628,640,635,651,583,657,673,658,675,647,638,644,695,738,751,705,-6.1,1.0,
Ukraine,28,23,21,19,18,18,18,18,18,18,18,18,19,19,20,20,21,21,21,21,20,20,20,21,20,20,20,20,20,20,20,-2.1,0.5,
Uzbekistan,41,42,43,45,47,49,49,51,55,56,56,57,60,58,60,61,63,66,68,67,66,63,62,58,54,55,56,57,62,61,50,-17.8,-0.6,
America,697,700,716,740,775,781,802,815,829,835,862,880,872,888,885,878,905,926,945,944,971,1019,1055,1065,1120,1150,1144,1162,1256,1336,1317,-1.4,2.1,
North America,616,618,633,653,685,687,699,705,709,711,726,742,724,725,710,699,713,729,745,746,760,806,837,843,898,931,932,954,1050,1135,1132,-0.2,2.2,
Canada,109,115,126,139,150,159,165,168,173,176,182,186,187,184,184,188,188,183,174,162,156,158,156,157,164,165,177,181,183,176,172,-2.3,-0.3,
United States,507,503,507,514,535,528,534,537,536,535,544,556,536,541,527,511,524,546,571,584,604,649,681,686,733,767,755,773,866,959,960,0.1,2.9,
Latin America,81,82,83,87,91,94,104,111,120,124,136,138,148,162,174,179,192,197,200,197,211,212,218,222,223,219,211,207,206,201,185,-8.0,1.5,
Argentina,19,19,20,22,23,24,26,28,32,37,41,41,40,45,48,48,48,45,45,43,41,40,41,39,38,40,41,42,43,45,41,-8.9,0.0,
Brazil,4,4,4,5,5,5,6,6,7,7,7,7,10,10,11,11,11,11,14,12,15,17,20,22,23,24,24,28,25,26,24,-8.0,6.1,
Chile,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,-19.9,-2.2,
Colombia,5,4,5,5,5,5,5,7,8,7,7,8,8,7,8,8,8,8,9,12,13,12,13,15,15,14,13,13,14,13,14,6.6,3.2,
Mexico,26,25,25,26,27,27,30,33,35,36,37,36,37,39,41,43,48,50,50,51,51,49,47,46,45,42,37,32,31,30,29,-0.9,-1.1,
Venezuela,18,18,18,19,20,21,24,24,25,22,23,21,26,24,23,20,21,21,19,19,22,22,23,22,23,23,24,24,24,20,15,-25.4,-2.2,
Asia,134,148,156,164,175,187,203,220,224,241,251,253,272,292,312,334,345,360,379,395,426,425,425,440,451,449,449,451,466,480,476,-0.9,3.3,
China,15,16,16,17,18,18,20,23,23,25,27,30,33,35,41,49,59,69,80,85,96,105,111,121,130,135,137,148,162,178,195,9.8,10.3,
India,13,14,16,16,17,21,21,25,26,28,28,28,30,31,31,31,31,31,32,47,51,46,40,35,33,31,31,32,32,31,27,-11.5,-0.1,
Indonesia,48,55,57,59,66,65,69,72,70,75,70,68,74,78,75,75,74,72,74,77,86,81,77,76,75,75,74,72,72,69,62,-9.8,-0.6,
Japan,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,-11.9,-1.3,
Malaysia,18,22,23,25,25,29,36,41,42,43,50,49,51,53,60,66,65,64,68,62,60,62,61,69,70,69,68,66,70,71,65,-8.2,1.3,
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-28.3,-,
Taiwan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.0,-9.8,
Thailand,6,8,8,9,11,11,13,16,17,19,20,19,21,22,22,24,24,26,29,27,32,28,33,36,37,33,32,30,29,30,26,-14.2,1.2,
Pacific,25,27,28,30,31,34,36,36,36,38,39,40,41,39,39,40,47,50,52,54,58,61,59,68,75,83,97,120,132,159,171,7.6,7.6,
Australia,20,21,23,24,26,29,30,30,31,32,33,34,35,34,34,36,43,45,47,49,53,56,54,63,65,68,81,104,118,142,154,7.9,8.0,
New Zealand,5,5,6,5,5,5,5,6,5,6,6,6,6,5,4,4,4,4,4,4,5,4,5,5,5,5,5,5,4,5,5,-1.6,-1.5,
Africa,67,73,76,79,75,82,87,98,103,116,124,129,134,149,157,189,200,211,216,202,209,203,211,199,204,202,215,235,248,252,237,-6.0,3.3,
Algeria,46,50,52,52,48,55,58,67,72,81,82,77,80,84,83,89,87,87,87,83,85,82,85,81,83,84,95,96,97,90,84,-6.8,0.1,
Egypt,8,9,10,12,12,13,13,13,14,17,18,23,26,29,32,52,56,60,62,62,57,56,54,48,43,38,43,53,62,69,62,-10.3,6.5,
Nigeria,4,5,5,6,5,5,5,6,6,7,12,15,14,22,24,24,28,35,35,24,33,38,41,37,42,44,40,45,47,47,48,1.6,7.0,
South Africa,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1.7,-1.8,
Middle-East,91,96,103,114,130,139,144,158,167,183,196,213,232,249,276,302,328,355,385,404,467,509,533,551,567,585,606,628,647,669,677,1.2,6.4,
Iran,23,28,28,31,38,42,42,47,49,57,59,62,70,80,90,99,109,123,128,137,144,150,156,157,175,184,200,216,225,232,234,1.1,7.1,
Kuwait,4,1,5,9,9,9,9,9,9,9,10,10,9,10,11,12,12,12,13,11,12,14,16,16,15,17,17,17,18,19,21,10.0,4.1,
Saudi Arabia,24,24,27,28,30,30,31,33,34,34,38,39,46,47,51,56,59,61,67,64,73,75,81,82,85,87,91,95,97,97,97,0.6,4.9,
United Arab Emirates,20,24,22,23,27,31,34,36,37,38,37,43,43,44,45,48,49,49,49,47,51,52,54,55,54,60,61,61,62,67,66,-1.7,3.0,
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141 additional countries available in our Global Energy & CO2 Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enerdata www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata www.enerdata.net. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
