,Total energy consumption (Mtoe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2019 - 2020 (%) ,2000 - 2020 (%/year) ,
World,8758,8812,8821,8912,8981,9210,9438,9536,9583,9800,10025,10105,10336,10702,11174,11486,11814,12142,12285,12166,12837,13051,13220,13410,13557,13593,13704,13969,14299,14407,13828,-4.0,1.6,
OECD,4523,4575,4625,4696,4779,4880,5023,5075,5092,5185,5304,5284,5330,5406,5508,5542,5556,5579,5506,5262,5439,5342,5304,5338,5288,5289,5292,5325,5382,5316,4943,-7.0,-0.4,
G7,3490,3526,3568,3615,3676,3744,3837,3852,3872,3940,4029,3991,4014,4047,4122,4139,4121,4127,4041,3838,3952,3852,3806,3849,3823,3806,3773,3778,3837,3788,3497,-7.7,-0.7,
BRICS,2289,2273,2235,2260,2235,2317,2363,2360,2367,2435,2487,2539,2627,2851,3095,3282,3497,3707,3838,3992,4327,4575,4727,4821,4936,4947,4965,5110,5303,5439,5431,-0.1,4.0,
Europe,1776,1774,1736,1736,1727,1781,1844,1835,1849,1832,1852,1886,1889,1936,1956,1966,1987,1963,1963,1858,1932,1874,1865,1847,1779,1809,1825,1859,1840,1811,1689,-6.7,-0.5,
European Union,1440,1435,1398,1395,1388,1435,1480,1471,1479,1465,1475,1511,1513,1549,1568,1574,1585,1562,1559,1469,1527,1480,1461,1445,1392,1409,1420,1444,1429,1405,1307,-6.9,-0.6,
Belgium,48,50,51,49,52,53,56,56,57,57,58,58,56,58,58,58,57,56,58,56,60,56,53,56,53,52,56,55,53,55,51,-7.1,-0.6,
Czechia,50,45,44,43,41,42,43,43,42,39,41,42,43,45,46,45,46,46,45,43,45,43,43,43,42,42,41,43,43,43,39,-8.2,-0.2,
France,225,237,234,238,231,240,251,244,252,252,255,260,261,268,271,273,268,265,266,255,263,258,258,259,249,253,248,247,246,243,217,-10.7,-0.8,
Germany,351,344,338,335,333,336,348,345,343,335,337,347,339,338,341,339,349,331,335,313,330,313,315,322,307,309,310,311,302,294,275,-6.3,-1.0,
Italy,147,150,149,149,147,159,159,162,166,169,172,172,174,182,183,187,185,184,182,170,174,168,162,156,147,153,151,154,151,149,137,-8.1,-1.1,
Netherlands,67,69,69,70,70,73,77,75,75,74,75,77,78,80,81,80,79,79,78,77,83,77,77,75,71,72,74,74,73,72,70,-2.4,-0.3,
Poland,103,101,99,101,96,99,104,102,95,93,89,90,89,91,91,92,97,97,98,94,101,101,98,98,95,96,100,104,106,103,97,-5.7,0.5,
Portugal,17,17,18,18,18,20,20,21,23,24,25,25,26,25,26,26,25,25,25,24,23,23,21,22,21,22,22,23,22,22,20,-7.7,-1.0,
Romania,62,51,46,46,43,47,48,45,41,36,36,37,38,40,39,39,40,40,40,35,35,36,35,32,32,32,32,33,34,33,32,-2.2,-0.6,
Spain,90,93,95,91,96,101,99,106,111,116,121,125,128,133,139,142,141,143,139,127,127,125,124,116,113,117,118,125,124,121,107,-11.4,-0.6,
Sweden,47,49,47,46,50,50,51,50,51,50,48,50,52,51,53,52,50,50,50,45,51,50,50,49,48,44,48,49,50,49,47,-4.2,-0.1,
United Kingdom,206,213,213,215,216,217,226,219,221,222,223,224,221,224,222,223,219,211,209,196,204,189,194,191,180,182,179,176,175,170,154,-9.3,-1.8,
Norway,21,22,22,24,23,24,23,24,25,26,26,27,25,27,27,27,27,28,32,32,33,28,31,33,29,30,29,30,29,28,27,-3.7,0.2,
Turkey,51,51,53,56,56,61,66,70,71,70,76,70,74,79,81,84,93,100,98,98,106,112,118,115,119,129,137,147,144,145,141,-2.7,3.1,
CIS,1380,1367,1233,1139,998,962,933,892,873,892,903,909,916,949,962,965,993,1003,1021,943,1015,1046,1055,1032,1006,965,997,1014,1065,1074,1015,-5.5,0.6,
Kazakhstan,73,75,79,66,58,52,45,39,39,36,36,35,40,43,51,51,61,66,70,63,69,77,74,82,65,55,64,66,76,77,70,-8.6,3.4,
Russia,879,871,795,751,657,636,630,602,588,609,619,626,623,645,647,651,670,672,688,647,688,711,728,707,707,693,714,729,760,768,731,-4.8,0.8,
Ukraine,252,252,220,195,166,164,150,144,136,135,134,134,136,141,142,141,137,139,135,114,132,126,122,116,106,93,92,89,93,89,86,-3.3,-2.2,
Uzbekistan,47,48,45,47,46,43,44,45,47,50,51,51,53,51,51,48,49,48,50,46,49,50,44,44,41,39,42,44,46,47,44,-7.0,-0.7,
America,2583,2608,2663,2709,2781,2815,2889,2936,2973,3054,3127,3081,3134,3171,3248,3287,3290,3354,3304,3163,3263,3259,3246,3323,3353,3324,3294,3290,3352,3330,3085,-7.4,-0.1,
North America,2121,2136,2179,2221,2267,2297,2347,2371,2388,2453,2523,2476,2507,2526,2579,2594,2576,2616,2549,2426,2479,2459,2422,2465,2499,2475,2456,2456,2534,2515,2327,-7.5,-0.4,
Canada,211,210,216,223,231,234,239,242,240,247,254,250,251,264,271,274,278,278,271,261,262,267,269,275,282,283,287,295,298,301,281,-6.7,0.5,
United States,1910,1925,1964,1998,2036,2063,2108,2130,2148,2206,2269,2226,2256,2262,2308,2320,2298,2338,2278,2165,2217,2191,2152,2190,2216,2192,2168,2161,2236,2214,2046,-7.6,-0.5,
Latin America,462,473,484,488,515,518,542,565,585,601,604,605,626,645,669,693,714,737,755,736,784,800,825,858,855,849,838,833,818,815,758,-6.9,1.1,
Argentina,44,46,47,48,52,52,54,56,59,61,61,56,56,60,67,66,70,73,76,70,75,77,80,82,82,83,82,82,80,79,72,-8.8,0.9,
Brazil,141,143,145,148,156,162,170,179,183,187,188,191,196,199,211,216,224,236,250,242,267,271,282,294,303,297,287,292,288,293,286,-2.2,2.1,
Chile,14,14,15,16,17,18,20,23,24,25,25,25,26,26,28,28,30,31,30,30,31,34,37,38,35,36,38,38,39,40,38,-4.5,2.1,
Colombia,24,24,25,26,27,28,28,27,29,26,26,26,25,26,26,27,29,28,30,31,30,31,30,40,40,41,42,40,39,41,39,-5.9,2.1,
Mexico,124,130,131,133,136,132,135,142,146,150,151,155,157,168,171,181,184,183,184,180,179,187,192,192,188,185,185,180,181,176,151,-14.0,0.0,
Venezuela,40,41,46,43,50,47,50,50,52,58,59,55,67,63,61,64,65,66,66,63,75,67,69,76,66,64,59,56,42,36,29,-19.5,-3.4,
Asia,2113,2131,2209,2311,2416,2559,2646,2703,2694,2787,2886,2943,3068,3283,3563,3757,3966,4175,4268,4459,4816,5015,5161,5288,5408,5458,5498,5651,5850,5983,5955,-0.5,3.7,
China,874,848,877,929,973,1045,1074,1073,1079,1099,1130,1168,1246,1420,1615,1782,1950,2099,2155,2297,2536,2723,2821,2912,2966,2994,2977,3070,3201,3309,3381,2.2,5.6,
India,306,318,330,338,351,371,383,398,407,431,441,448,462,474,500,515,533,568,604,663,701,734,766,779,822,835,852,883,919,940,908,-3.4,3.7,
Indonesia,99,103,108,119,119,131,136,140,137,144,156,159,165,165,176,179,183,182,185,196,202,205,204,197,206,204,209,222,231,237,225,-5.2,1.9,
Japan,440,445,455,458,483,495,506,511,502,510,520,511,513,509,526,524,524,519,500,477,503,466,456,457,442,434,429,434,428,416,386,-7.2,-1.5,
Malaysia,21,26,29,32,32,34,38,44,42,42,48,51,52,56,60,66,66,73,76,72,73,76,77,87,89,85,88,85,94,96,88,-8.4,3.0,
South Korea,94,101,111,125,133,146,158,172,158,174,190,193,201,206,212,214,218,227,232,234,256,267,271,272,277,283,293,295,296,293,283,-3.3,2.0,
Taiwan,48,52,54,58,60,63,67,71,75,79,85,86,90,94,96,98,100,105,101,100,106,105,105,107,109,107,109,107,110,108,105,-2.0,1.1,
Thailand,42,46,49,51,57,62,69,71,66,71,72,74,82,89,96,99,101,105,108,108,118,118,126,136,136,136,139,139,136,137,125,-8.2,2.8,
Pacific,103,102,104,109,110,111,118,121,124,127,129,127,131,132,134,135,139,143,148,148,149,150,150,152,152,152,152,154,154,155,152,-1.9,0.8,
Australia,86,85,87,91,91,93,99,101,104,106,108,106,109,111,113,113,118,121,126,126,126,127,126,127,127,127,127,128,128,129,126,-2.0,0.8,
New Zealand,14,14,14,15,15,15,16,16,16,17,17,17,17,17,18,17,17,17,18,18,19,18,19,19,21,21,21,21,20,21,21,0.2,0.9,
Africa,379,390,394,406,413,430,443,454,467,478,483,495,503,528,556,572,590,613,640,654,671,698,714,725,765,760,783,800,822,829,809,-2.4,2.6,
Algeria,22,23,24,24,23,24,23,24,25,27,27,27,29,31,31,32,35,37,37,41,42,43,47,49,54,56,56,57,61,65,59,-9.3,4.0,
Egypt,33,33,34,35,34,36,38,40,42,43,41,47,48,50,54,62,66,70,73,75,74,77,79,78,80,81,88,93,96,97,92,-5.4,4.1,
Nigeria,66,70,72,74,72,73,76,79,80,83,87,91,94,98,99,105,106,110,113,111,127,139,140,143,147,145,150,152,160,157,159,0.8,3.0,
South Africa,90,92,88,94,98,104,107,109,111,109,109,105,100,113,123,118,120,131,142,144,134,137,131,130,138,129,135,136,134,129,124,-3.8,0.6,
Middle-East,222,236,265,288,313,322,328,349,351,365,371,401,420,426,451,488,515,543,589,607,633,647,683,694,732,746,762,792,796,813,803,-1.2,3.9,
Iran,69,77,81,87,97,101,98,109,111,126,123,133,138,143,156,173,180,191,205,204,204,208,218,222,238,238,246,262,266,269,268,-0.6,4.0,
Kuwait,9,3,9,12,14,15,14,15,17,18,19,20,20,21,24,27,25,25,28,29,29,28,29,30,27,33,36,34,34,36,38,4.3,3.6,
Saudi Arabia,58,68,77,80,84,85,90,86,92,94,98,100,114,115,115,123,132,138,151,159,175,184,189,188,207,216,215,219,214,215,209,-2.7,3.9,
United Arab Emirates,20,23,22,23,26,28,29,31,32,32,31,40,39,38,42,44,46,50,59,64,61,60,64,68,74,76,79,78,78,83,81,-2.9,4.8,
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141 additional countries available in our Global Energy & CO2 Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enerdata www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata www.enerdata.net. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
